epoch,box,dfl,cls,Recall,Precision,mAP@50,mAP
106,1.289,1.289,0.761,0.724,0.724,0.830,0.526
107,1.284,1.284,0.757,0.724,0.724,0.830,0.526
108,1.284,1.284,0.758,0.723,0.723,0.830,0.526
109,1.286,1.286,0.759,0.724,0.724,0.830,0.526
110,1.282,1.282,0.758,0.724,0.724,0.830,0.526
111,1.277,1.277,0.754,0.724,0.724,0.830,0.526
112,1.281,1.281,0.753,0.724,0.724,0.830,0.526
113,1.289,1.289,0.758,0.724,0.724,0.831,0.526
114,1.282,1.282,0.755,0.724,0.724,0.831,0.527
115,1.277,1.277,0.754,0.724,0.724,0.831,0.527
116,1.277,1.277,0.752,0.724,0.724,0.831,0.527
117,1.284,1.284,0.754,0.723,0.723,0.831,0.527
118,1.278,1.278,0.753,0.723,0.723,0.831,0.527
119,1.278,1.278,0.752,0.724,0.724,0.831,0.527
120,1.275,1.275,0.749,0.724,0.724,0.831,0.527
121,1.274,1.274,0.751,0.724,0.724,0.831,0.527
122,1.279,1.279,0.752,0.724,0.724,0.831,0.527
123,1.277,1.277,0.751,0.724,0.724,0.831,0.527
124,1.280,1.280,0.750,0.725,0.725,0.831,0.527
125,1.278,1.278,0.752,0.725,0.725,0.831,0.527
126,1.279,1.279,0.751,0.725,0.725,0.831,0.527
127,1.276,1.276,0.752,0.725,0.725,0.831,0.528
128,1.269,1.269,0.749,0.724,0.724,0.831,0.528
129,1.275,1.275,0.748,0.725,0.725,0.831,0.528
130,1.278,1.278,0.753,0.725,0.725,0.831,0.528
131,1.272,1.272,0.748,0.725,0.725,0.831,0.528
132,1.272,1.272,0.743,0.724,0.724,0.831,0.528
133,1.274,1.274,0.750,0.723,0.723,0.831,0.528
134,1.274,1.274,0.748,0.723,0.723,0.831,0.528
135,1.269,1.269,0.745,0.723,0.723,0.831,0.528
136,1.272,1.272,0.745,0.723,0.723,0.831,0.528
137,1.275,1.275,0.747,0.723,0.723,0.831,0.528
138,1.272,1.272,0.744,0.723,0.723,0.831,0.528
139,1.269,1.269,0.746,0.723,0.723,0.831,0.528
140,1.269,1.269,0.742,0.723,0.723,0.831,0.528
141,1.268,1.268,0.743,0.722,0.722,0.832,0.528
